,Name,RA,Dec,dist[kpc],rh[pc],r_c,mass[Msun],Age,Z,sigma_v[km/s],sigma_source,OpSim ID,OpSim RA,OpSim Dec,Source Flag,Cluster Type,dist flag,Age flag,Z flag
961,Turner_9,296.20416666666665,29.265,0.852,-9.999,,7379.042301291015,8200.0,0.07,1.85810418891305,rh*,3930.0,296.71478271484403,28.7786,W,O,,A,Z
962,Collinder_333,262.8708333333333,-34.019999999999996,0.855,1.229,,60.53408747539133,8900.0,-0.3,0.2022808849940354,rh,1117.0,262.042205810547,-34.8201,W,O,,A,Z
963,Berkeley_82,287.84999999999997,13.066666666666666,0.86,0.5003277753526557,,,7492.999999999998,-0.06,0.31443558517073633,m*rh,3197.0,288.000030517578,12.307,W,O,,A,Z
964,Ruprecht_96,177.65833333333333,-62.13972222222222,0.86,1.472,,26.6072505979881,9000.0,0.195908507105152,0.12253971938837499,rh,302.0,180.0,-62.5107,W,O,,A,Z
965,NGC_6250,254.48333333333326,-45.93666666666666,0.865,-9.999,,794.3282347242813,7415.0,-0.19881354141004878,0.2769572990817341,rh*,709.0,256.112701416016,-46.9632,W,O,,A,Z
966,Pismis_5,129.40833333333333,-39.583333333333336,0.869,0.5055637636993695,,,7197.0,0.009241323854488772,4.70837917532613,m*rh,981.0,129.273422241211,-39.3137,W,O,,A,Z
967,King_6,52.02499999999999,56.45,0.871,1.2890000000000001,,2.9040226544644505,8340.0,0.46,0.04326177435632987,rh,4816.0,52.303150177002,55.2215,W,O,,A,Z
968,Bochum_5,112.74999999999999,-16.933333333333334,0.872,1.187,,1823.8957023196383,7545.0,-0.171,1.129810032840767,rh,1865.0,111.350799560547,-17.269,W,O,,A,Z
969,NGC_2301,102.93749999999999,0.46,0.872,-9.999,,112.46049739669269,8216.000000000002,0.06,0.10735039280274913,rh*,2632.0,103.25632476806601,-0.279719,W,O,,A,Z
970,Ruprecht_59,124.83749999999998,-34.483333333333334,0.874,0.762709076733591,,,7727.0,-0.10073583984797208,0.7533092736483528,m*rh,1090.0,124.77069091796899,-35.9668,W,O,,A,Z
971,Collinder_338,264.5249999999999,-37.72,0.88,-9.999,,298.538261891796,8650.0,-0.3747870662824205,0.17607803236215108,rh*,1006.0,266.088958740234,-38.359,W,O,,A,Z
972,Lynga_14,253.76666666666665,-45.233333333333334,0.881,0.7688177306662399,,,6712.000000000002,-0.06397736751409248,0.567379658392082,m*rh,737.0,252.000030517578,-45.6499,W,O,,A,Z
973,ESO_166-04,137.62499999999997,-53.88666666666666,0.885,-9.999,,59.979107625550945,8450.0,-0.701668443205715,0.08486598885134174,rh*,529.0,136.377731323242,-53.306,W,O,,A,Z
974,IC_4651,261.2041666666666,-49.93333333333333,0.888,1.811,,121.6186000646368,9057.0,0.09,0.23619546853772008,rh,586.0,260.864105224609,-50.8598,W,O,,A,Z
975,NGC_6087,244.70833333333331,-57.934999999999995,0.891,2.525,,1595.8791472367336,7976.0,-0.01,0.7246029457483781,rh,399.0,246.712249755859,-58.1732,W,O,,A,Z
976,NGC_3330,159.69166666666663,-54.123333333333335,0.894,1.599,,81.47042840208397,8229.0,-0.026188646007006388,0.20573422957954765,rh,484.0,160.303146362305,-55.2214,W,O,,A,Z
977,ASCC_46,124.1375,-48.50972222222222,0.9,1.732,,1345.860354055947,7710.0,-0.03972554625885568,0.8034462769513807,rh,635.0,125.30590057373001,-49.6774,W,O,,A,Z
978,ASCC_47,127.94583333333333,-39.080000000000005,0.9,1.801,,1995.2623149688789,7880.0,0.15010716380721273,0.9593430421184451,rh,981.0,129.273422241211,-39.3137,W,O,,A,Z
979,ASCC_49,131.96666666666667,-37.99,0.9,1.483,,899.4975815300346,8140.000000000001,0.12,0.7098395790492432,rh,1072.0,131.656936645508,-36.7508,W,O,,A,Z
980,ASCC_84,238.7208333333333,-60.74,0.9,1.11,,196.33602768360475,7680.0,0.07,0.3833269000944753,rh,309.0,240.05534362793,-62.0212,W,O,,A,Z
